id_cliente,nombre,id_tipo_cliente,id_etapa_trazabilidad,ciudad,email,telefono,fecha_registro,estado
58,Liceo Moderno #85,2,5,Manizales,cliente58@empresa.com.co,316944126,2026-03-01,activo
59,Colegio Los Andes #53,2,4,Barranquilla,cliente59@empresa.com.co,311908841,2024-07-31,activo
60,Valentina Rodriguez,1,4,Manizales,cliente60@gmail.com,316692553,2025-08-11,activo
61,Valentina Torres,1,3,Bogota,cliente61@gmail.com,304191175,2025-09-21,activo
62,Catalina Gutierrez,1,4,Bogota,cliente62@gmail.com,308077999,2025-07-01,activo
63,Laura Vargas,1,3,Barranquilla,cliente63@gmail.com,315191056,2024-11-09,activo
64,Liceo Moderno #57,2,3,Bogota,cliente64@empresa.com.co,322642635,2025-01-21,activo
65,Colegio San Jose #84,2,4,Barranquilla,cliente65@empresa.com.co,321247595,2026-02-02,activo
66,Juan Torres,1,5,Cali,cliente66@gmail.com,307818496,2024-08-07,activo
67,Natalia Jimenez,1,3,Bogota,cliente67@gmail.com,307728339,2024-11-23,activo
68,Almacenes Exito #11,5,5,Medellin,cliente68@empresa.com.co,311036161,2026-03-05,activo
69,David Vargas,1,5,Cartagena,cliente69@gmail.com,315785687,2025-05-28,activo
70,Paula Pena,1,3,Medellin,cliente70@gmail.com,329164991,2024-10-19,activo
71,Gimnasio Campestre #25,2,5,Bogota,cliente71@empresa.com.co,314652414,2024-06-18,activo
72,Camila Cortes,1,4,Bogota,cliente72@gmail.com,322022698,2026-04-09,activo
73,Distrimax SAS #4,5,5,Manizales,cliente73@empresa.com.co,308999183,2025-02-22,activo
74,Diego Mendoza,1,3,Cucuta,cliente74@gmail.com,301954280,2025-04-05,activo
75,Tiendas Multimarca SA #6,5,5,Ibague,cliente75@empresa.com.co,302149597,2026-02-05,activo
76,Andrea Martinez,1,5,Medellin,cliente76@gmail.com,324946066,2026-02-03,activo
77,David Lopez,1,3,Bogota,cliente77@gmail.com,325130808,2025-07-06,activo
78,Tiendas Multimarca SA #39,5,5,Barranquilla,cliente78@empresa.com.co,302375453,2025-07-16,activo
79,Paula Cortes,1,4,Cali,cliente79@gmail.com,329770838,2026-05-14,activo
80,Felipe Vargas,1,5,Cali,cliente80@gmail.com,306271130,2026-02-22,activo
81,Universidad Central #34,2,4,Barranquilla,cliente81@empresa.com.co,313195773,2025-10-19,activo
82,Sofia Gutierrez,1,5,Bogota,cliente82@gmail.com,312217071,2026-01-04,activo
83,Soluciones TI SAS #59,3,5,Pereira,cliente83@empresa.com.co,322677407,2026-03-20,activo
84,Juan Pena,1,5,Cali,cliente84@gmail.com,309487336,2025-12-27,activo
85,Mateo Garcia,1,5,Barranquilla,cliente85@gmail.com,312154126,2025-12-25,activo
86,Totto Unicentro #12,4,5,Medellin,cliente86@empresa.com.co,313646552,2025-02-26,activo
87,Carlos Pena,1,5,Cali,cliente87@gmail.com,326075395,2024-06-26,activo
88,Andrea Mendoza,1,1,Cali,cliente88@gmail.com,306022741,2024-12-24,inactivo
89,Valentina Garcia,1,2,Bogota,cliente89@gmail.com,312936571,2024-06-27,inactivo
90,Soluciones TI SAS #96,3,3,Medellin,cliente90@empresa.com.co,323607983,2024-08-31,activo
91,Mateo Morales,1,2,Bucaramanga,cliente91@gmail.com,324533779,2024-11-03,activo
92,Felipe Ramirez,1,5,Bogota,cliente92@gmail.com,325428914,2024-07-08,activo
93,Diego Jimenez,1,4,Cali,cliente93@gmail.com,311852264,2025-09-02,activo
94,Liceo Moderno #82,2,3,Ibague,cliente94@empresa.com.co,315641923,2025-06-07,activo
95,Camila Gomez,1,4,Cartagena,cliente95@gmail.com,313194789,2024-12-12,activo
96,Mateo Hernandez,1,5,Bogota,cliente96@gmail.com,328412769,2024-06-19,activo
97,Tiendas Multimarca SA #28,5,4,Pereira,cliente97@empresa.com.co,321162230,2025-10-15,activo
98,Valentina Martinez,1,3,Bogota,cliente98@gmail.com,323500715,2024-09-21,activo
99,Catalina Rodriguez,1,1,Cali,cliente99@gmail.com,313484601,2025-10-28,inactivo
100,Paula Garcia,1,5,Bogota,cliente100@gmail.com,306171716,2026-04-19,activo
101,Institucion Educativa Nacional #6,2,4,Cali,cliente101@empresa.com.co,314524499,2025-08-15,activo
102,Daniela Lopez,1,4,Bogota,cliente102@gmail.com,317817881,2025-02-12,activo
103,Gimnasio Campestre #31,2,4,Bogota,cliente103@empresa.com.co,303970445,2024-08-23,activo
104,Paula Gomez,1,5,Bogota,cliente104@gmail.com,306573147,2026-02-06,activo
105,Colegio Los Andes #86,2,3,Medellin,cliente105@empresa.com.co,325163555,2024-08-10,activo
106,Mateo Hernandez,1,5,Medellin,cliente106@gmail.com,322813543,2024-10-03,activo
107,David Rodriguez,1,5,Medellin,cliente107@gmail.com,314731818,2025-08-18,activo
108,Sebastian Gutierrez,1,5,Bogota,cliente108@gmail.com,316120253,2025-02-25,activo
109,Daniela Torres,1,3,Cali,cliente109@gmail.com,304240180,2026-02-07,activo
110,David Castro,1,3,Bogota,cliente110@gmail.com,312164686,2024-07-21,activo
111,Mateo Rojas,1,5,Bogota,cliente111@gmail.com,329546409,2025-07-27,activo
112,Comercializadora La 70 #35,5,5,Cali,cliente112@empresa.com.co,311463060,2025-03-07,activo
113,Valentina Vargas,1,1,Medellin,cliente113@gmail.com,305453786,2025-06-28,inactivo
114,Almacenes Exito #7,5,5,Medellin,cliente114@empresa.com.co,328290770,2026-04-24,activo
115,Totto Santafe #24,4,5,Bogota,cliente115@empresa.com.co,318321474,2024-07-20,activo
116,Andrea Mendoza,1,5,Bogota,cliente116@gmail.com,307462506,2024-08-07,activo
117,Nicolas Ramirez,1,3,Bogota,cliente117@gmail.com,311744682,2025-01-16,activo
118,Consultora Vertex #56,3,5,Bogota,cliente118@empresa.com.co,309722815,2026-01-08,activo
119,Catalina Ramirez,1,5,Bogota,cliente119@gmail.com,318235969,2025-10-15,activo
120,Juan Castro,1,4,Pereira,cliente120@gmail.com,326266630,2025-11-12,activo
121,Consultora Vertex #16,3,5,Bogota,cliente121@empresa.com.co,326038571,2024-10-06,activo
122,Colegio Britanico #86,2,4,Cartagena,cliente122@empresa.com.co,316472441,2026-05-15,activo
123,David Morales,1,5,Medellin,cliente123@gmail.com,323135534,2025-12-12,activo
124,Sebastian Suarez,1,5,Cucuta,cliente124@gmail.com,327361002,2026-02-09,activo
125,Laura Rivera,1,5,Bucaramanga,cliente125@gmail.com,326049101,2025-11-26,activo
126,David Pena,1,4,Manizales,cliente126@gmail.com,306098175,2025-05-30,activo
127,Constructora del Valle #27,3,5,Medellin,cliente127@empresa.com.co,316406444,2026-03-07,activo
128,Carlos Gutierrez,1,5,Bogota,cliente128@gmail.com,314585314,2026-03-14,activo
129,Diego Jimenez,1,3,Bogota,cliente129@gmail.com,323846949,2026-04-16,activo
130,Almacenes Exito #19,5,5,Cali,cliente130@empresa.com.co,326623525,2025-08-29,activo
131,Juan Torres,1,4,Bogota,cliente131@gmail.com,326207974,2025-01-23,activo
132,Daniela Ramirez,1,5,Bucaramanga,cliente132@gmail.com,301409790,2025-12-22,activo
133,Colegio San Jose #32,2,4,Bogota,cliente133@empresa.com.co,312221854,2025-05-22,activo
134,Carlos Suarez,1,5,Cali,cliente134@gmail.com,324262081,2025-04-14,activo
135,Totto El Tesoro #16,4,5,Medellin,cliente135@empresa.com.co,315093379,2024-08-24,activo
136,Santiago Gomez,1,3,Bucaramanga,cliente136@gmail.com,308132769,2025-08-20,activo
137,Daniela Hernandez,1,4,Bogota,cliente137@gmail.com,329689889,2025-10-18,activo
138,Carlos Rodriguez,1,3,Cartagena,cliente138@gmail.com,325180853,2025-10-22,activo
139,Valentina Gutierrez,1,1,Bogota,cliente139@gmail.com,308795419,2026-05-12,activo
140,Diego Pena,1,5,Medellin,cliente140@gmail.com,326323376,2026-01-07,activo
141,Comercializadora La 70 #40,5,5,Ibague,cliente141@empresa.com.co,329468772,2025-11-25,activo
142,Paula Pena,1,4,Bogota,cliente142@gmail.com,313670226,2025-12-12,activo
143,Natalia Gutierrez,1,5,Medellin,cliente143@gmail.com,315147994,2026-03-15,activo
144,Mateo Mendoza,1,5,Medellin,cliente144@gmail.com,315013879,2024-06-09,activo
145,Mateo Gutierrez,1,3,Bogota,cliente145@gmail.com,305793722,2024-08-25,activo
146,Daniela Vargas,1,4,Barranquilla,cliente146@gmail.com,316363836,2025-11-20,activo
147,Catalina Martinez,1,4,Ibague,cliente147@gmail.com,303530518,2025-02-25,activo
148,Daniela Ortiz,1,2,Pereira,cliente148@gmail.com,323563646,2024-11-08,inactivo
149,Falabella #5,5,5,Bogota,cliente149@empresa.com.co,317838382,2026-04-30,activo
150,Felipe Pena,1,1,Manizales,cliente150@gmail.com,317975534,2025-06-15,activo
151,Almacenes Exito #14,5,4,Bogota,cliente151@empresa.com.co,317534336,2025-07-04,activo
152,Tiendas Multimarca SA #2,5,5,Cali,cliente152@empresa.com.co,327381734,2025-08-28,activo
153,Natalia Gomez,1,5,Medellin,cliente153@gmail.com,316009888,2025-08-26,activo
154,David Suarez,1,4,Manizales,cliente154@gmail.com,324700025,2024-07-03,activo
155,Natalia Torres,1,5,Cucuta,cliente155@gmail.com,318312114,2026-03-03,activo
156,Natalia Gomez,1,1,Barranquilla,cliente156@gmail.com,316639317,2024-12-17,activo
157,David Hernandez,1,5,Medellin,cliente157@gmail.com,313141239,2025-02-10,activo
158,Andrea Pena,1,4,Bogota,cliente158@gmail.com,307610562,2026-05-03,activo
159,Tiendas Multimarca SA #37,5,5,Barranquilla,cliente159@empresa.com.co,321454696,2025-06-21,activo
160,Juan Suarez,1,4,Cartagena,cliente160@gmail.com,308746014,2025-10-07,activo
161,Laura Rodriguez,1,1,Manizales,cliente161@gmail.com,317360307,2026-01-14,activo
162,Distrimax SAS #14,5,5,Bucaramanga,cliente162@empresa.com.co,316483562,2025-08-16,activo
163,Felipe Ortiz,1,4,Cucuta,cliente163@gmail.com,318072684,2026-02-14,activo
164,Mateo Martinez,1,5,Bogota,cliente164@gmail.com,311325197,2025-02-27,activo
165,Consultora Vertex #70,3,4,Ibague,cliente165@empresa.com.co,306871360,2024-09-17,activo
166,Daniela Martinez,1,5,Medellin,cliente166@gmail.com,321675419,2026-04-30,activo
167,Importadora Global #4,3,5,Pereira,cliente167@empresa.com.co,304344717,2025-05-04,activo
168,Andres Rivera,1,5,Bogota,cliente168@gmail.com,305002120,2024-07-11,activo
169,Logistica Andina #61,3,5,Cartagena,cliente169@empresa.com.co,322919136,2026-05-21,activo
170,Tiendas Multimarca SA #14,5,5,Cali,cliente170@empresa.com.co,315299055,2025-12-06,activo
171,Distrimax SAS #11,5,5,Pereira,cliente171@empresa.com.co,322921542,2024-11-26,activo
172,Laura Morales,1,3,Bogota,cliente172@gmail.com,301430812,2026-04-18,activo
173,Sofia Cortes,1,4,Bogota,cliente173@gmail.com,327296605,2025-09-27,activo
174,David Ramirez,1,2,Medellin,cliente174@gmail.com,305074336,2024-08-21,inactivo
175,Valentina Morales,1,3,Cali,cliente175@gmail.com,323030966,2025-12-09,activo
176,Nicolas Rodriguez,1,1,Pereira,cliente176@gmail.com,319937982,2025-07-03,activo
177,Paula Rojas,1,5,Pereira,cliente177@gmail.com,309488613,2025-03-18,activo
178,Felipe Gomez,1,5,Bogota,cliente178@gmail.com,319224219,2025-11-26,activo
179,Valentina Suarez,1,1,Barranquilla,cliente179@gmail.com,318713146,2024-11-01,activo
180,Santiago Suarez,1,4,Bogota,cliente180@gmail.com,309753457,2025-02-08,activo
181,Mateo Rivera,1,5,Medellin,cliente181@gmail.com,329111742,2025-04-11,activo
182,Totto El Tesoro #14,4,5,Medellin,cliente182@empresa.com.co,325502929,2025-06-06,activo
183,Institucion Educativa Nacional #32,2,3,Medellin,cliente183@empresa.com.co,305679639,2025-08-22,activo
184,Seguros Bolivar Ltda #32,3,3,Cucuta,cliente184@empresa.com.co,317358385,2024-09-14,activo
185,Totto Santafe #1,4,5,Medellin,cliente185@empresa.com.co,316452832,2024-12-03,activo
186,Laura Jimenez,1,5,Ibague,cliente186@gmail.com,306952975,2025-05-21,activo
187,Mateo Castro,1,3,Barranquilla,cliente187@gmail.com,315635017,2024-11-20,activo
188,Catalina Gomez,1,4,Bogota,cliente188@gmail.com,324205394,2024-09-01,activo
189,Juan Torres,1,5,Bogota,cliente189@gmail.com,327818732,2025-09-05,activo
190,Natalia Pena,1,4,Medellin,cliente190@gmail.com,308987516,2026-03-08,activo
191,Natalia Gutierrez,1,1,Barranquilla,cliente191@gmail.com,302561176,2024-10-03,activo
192,Sofia Torres,1,4,Bogota,cliente192@gmail.com,315081983,2024-09-30,activo
193,Sofia Cortes,1,3,Bogota,cliente193@gmail.com,318939993,2024-08-03,activo
194,Catalina Mendoza,1,4,Medellin,cliente194@gmail.com,318138769,2024-10-27,activo
195,Catalina Castro,1,3,Cali,cliente195@gmail.com,318612582,2025-10-11,activo
196,Mateo Morales,1,4,Cartagena,cliente196@gmail.com,314867786,2025-08-27,activo
197,Valentina Ramirez,1,5,Pereira,cliente197@gmail.com,313005795,2026-03-26,activo
198,Catalina Hernandez,1,4,Bogota,cliente198@gmail.com,304630331,2026-01-02,activo
199,Universidad del Norte #36,2,3,Bogota,cliente199@empresa.com.co,329801946,2024-10-29,activo
200,Andrea Morales,1,4,Medellin,cliente200@gmail.com,304256752,2025-08-20,activo
201,Sofia Torres,1,1,Medellin,cliente201@gmail.com,314010529,2025-11-21,inactivo
202,Sofia Gomez,1,4,Bogota,cliente202@gmail.com,329961299,2025-10-27,activo
203,Totto Unicentro #9,4,5,Cali,cliente203@empresa.com.co,301914794,2025-06-19,activo
204,Catalina Morales,1,1,Medellin,cliente204@gmail.com,323118618,2025-06-19,inactivo
205,Natalia Lopez,1,5,Bogota,cliente205@gmail.com,305770422,2025-02-27,activo
206,Natalia Jimenez,1,4,Medellin,cliente206@gmail.com,316716097,2024-10-31,activo
207,Laura Rodriguez,1,5,Bogota,cliente207@gmail.com,319014965,2026-03-04,activo
208,Valentina Martinez,1,2,Barranquilla,cliente208@gmail.com,319250138,2025-12-21,inactivo
209,Juan Cortes,1,4,Bogota,cliente209@gmail.com,321899411,2025-06-22,activo
210,Santiago Garcia,1,5,Bucaramanga,cliente210@gmail.com,326097514,2025-04-07,activo
211,Juan Torres,1,5,Bogota,cliente211@gmail.com,307982241,2025-02-17,activo
212,Andrea Rivera,1,1,Cali,cliente212@gmail.com,324786401,2025-02-12,inactivo
213,Tiendas Multimarca SA #25,5,5,Cali,cliente213@empresa.com.co,318427625,2024-11-18,activo
214,Sofia Cortes,1,5,Bogota,cliente214@gmail.com,316123430,2024-11-25,activo
215,Nicolas Rivera,1,4,Bogota,cliente215@gmail.com,302664863,2024-12-23,activo
216,Sebastian Ramirez,1,4,Manizales,cliente216@gmail.com,312362099,2024-07-28,activo
217,Laura Torres,1,3,Medellin,cliente217@gmail.com,302259379,2026-05-09,activo
218,Laura Gomez,1,4,Medellin,cliente218@gmail.com,318558197,2026-04-30,activo
219,Consultora Vertex #77,3,5,Cartagena,cliente219@empresa.com.co,315886520,2024-12-03,activo
220,Camila Torres,1,5,Barranquilla,cliente220@gmail.com,315743227,2026-04-01,activo
221,Carlos Martinez,1,4,Cali,cliente221@gmail.com,324916201,2024-12-19,activo
222,Colegio Britanico #81,2,4,Bogota,cliente222@empresa.com.co,324318855,2025-01-20,activo
223,Paula Lopez,1,1,Cali,cliente223@gmail.com,324771676,2024-11-22,activo
224,Santiago Vargas,1,5,Cali,cliente224@gmail.com,302198058,2024-12-25,activo
225,Camila Hernandez,1,4,Bogota,cliente225@gmail.com,315842082,2025-05-13,activo
226,Carlos Lopez,1,4,Bogota,cliente226@gmail.com,316101803,2025-01-29,activo
227,David Vargas,1,5,Bogota,cliente227@gmail.com,329284509,2026-05-14,activo
228,Carlos Martinez,1,5,Cartagena,cliente228@gmail.com,321668752,2024-12-01,activo
229,Paula Castro,1,4,Bucaramanga,cliente229@gmail.com,325200476,2025-08-03,activo
230,Andres Martinez,1,5,Medellin,cliente230@gmail.com,301348050,2025-02-07,activo
231,Totto Santafe #19,4,5,Pereira,cliente231@empresa.com.co,303939212,2026-04-26,activo
232,Natalia Mendoza,1,2,Bucaramanga,cliente232@gmail.com,328419378,2026-04-07,activo
233,Mateo Hernandez,1,4,Bogota,cliente233@gmail.com,328312936,2025-11-16,activo
234,Natalia Martinez,1,4,Pereira,cliente234@gmail.com,316837817,2024-09-09,activo
235,Colegio Los Andes #43,2,4,Bogota,cliente235@empresa.com.co,312754894,2024-09-26,activo
236,Laura Castro,1,4,Cartagena,cliente236@gmail.com,319312590,2025-09-22,activo
237,Sofia Ortiz,1,4,Medellin,cliente237@gmail.com,321615675,2026-02-22,activo
238,Carlos Martinez,1,5,Cartagena,cliente238@gmail.com,315234550,2025-04-13,activo
239,Felipe Lopez,1,4,Medellin,cliente239@gmail.com,319633492,2025-01-03,activo
240,Colegio San Jose #85,2,5,Cali,cliente240@empresa.com.co,328750676,2024-11-15,activo
241,Totto El Tesoro #2,4,5,Medellin,cliente241@empresa.com.co,309697969,2025-06-27,activo
242,Totto Santafe #20,4,5,Barranquilla,cliente242@empresa.com.co,318416216,2024-08-24,activo
243,Almacenes Exito #14,5,5,Barranquilla,cliente243@empresa.com.co,313198037,2025-01-28,activo
244,Sofia Gutierrez,1,4,Cartagena,cliente244@gmail.com,329132114,2025-08-21,activo
245,Valentina Gomez,1,5,Manizales,cliente245@gmail.com,325014745,2025-12-20,activo
246,Laura Morales,1,3,Bogota,cliente246@gmail.com,321229419,2024-11-26,activo
247,Colegio Los Andes #12,2,4,Bogota,cliente247@empresa.com.co,302903561,2025-07-16,activo
248,Universidad del Norte #16,2,4,Pereira,cliente248@empresa.com.co,323583206,2025-02-02,activo
249,Seguros Bolivar Ltda #92,3,4,Bogota,cliente249@empresa.com.co,319537455,2026-01-31,activo
250,Mateo Suarez,1,1,Medellin,cliente250@gmail.com,318922533,2025-12-27,inactivo
251,Daniela Gutierrez,1,4,Bogota,cliente251@gmail.com,323426689,2025-11-03,activo
252,Colegio Los Andes #25,2,3,Barranquilla,cliente252@empresa.com.co,329526867,2025-10-13,activo
253,Santiago Martinez,1,3,Bogota,cliente253@gmail.com,317961578,2025-02-04,activo
254,Felipe Mendoza,1,3,Manizales,cliente254@gmail.com,311043037,2025-07-26,activo
255,Sofia Morales,1,4,Medellin,cliente255@gmail.com,329214801,2026-04-14,activo
256,Santiago Gutierrez,1,3,Cali,cliente256@gmail.com,329125900,2025-05-31,activo
257,Mariana Castro,1,5,Bogota,cliente257@gmail.com,327328534,2026-02-18,activo
258,Comercializadora La 70 #21,5,5,Cali,cliente258@empresa.com.co,305006492,2025-10-15,activo
259,Totto Chipichape #13,4,5,Barranquilla,cliente259@empresa.com.co,307891662,2024-09-18,activo
260,Camila Castro,1,4,Cali,cliente260@gmail.com,328935224,2025-04-02,activo
261,Colegio Los Andes #50,2,4,Cucuta,cliente261@empresa.com.co,323551903,2026-03-29,activo
262,Natalia Rodriguez,1,5,Bogota,cliente262@gmail.com,309427047,2026-05-11,activo
263,Grupo Empresarial Sur #43,3,4,Bogota,cliente263@empresa.com.co,308387112,2026-03-26,activo
264,Soluciones TI SAS #68,3,3,Cali,cliente264@empresa.com.co,311257489,2025-07-31,activo
265,Santiago Suarez,1,5,Bogota,cliente265@gmail.com,323589751,2025-01-28,activo
266,Soluciones TI SAS #61,3,5,Bogota,cliente266@empresa.com.co,316680114,2025-01-27,activo
267,Andrea Ortiz,1,3,Cali,cliente267@gmail.com,322347467,2026-03-25,activo
268,Felipe Pena,1,3,Medellin,cliente268@gmail.com,316312692,2025-11-14,activo
269,Natalia Pena,1,4,Bogota,cliente269@gmail.com,302147909,2025-04-22,activo
270,Daniela Morales,1,4,Bogota,cliente270@gmail.com,302516313,2025-05-25,activo
271,Paula Lopez,1,4,Manizales,cliente271@gmail.com,322686231,2025-02-16,activo
272,Carlos Hernandez,1,3,Barranquilla,cliente272@gmail.com,326024207,2024-06-10,activo
273,Andres Rodriguez,1,5,Bogota,cliente273@gmail.com,311941524,2026-04-23,activo
274,Sofia Rojas,1,2,Medellin,cliente274@gmail.com,318225725,2024-08-01,activo
275,Falabella #16,5,5,Cali,cliente275@empresa.com.co,327913081,2025-08-03,activo
276,Nicolas Hernandez,1,5,Bucaramanga,cliente276@gmail.com,303937176,2024-10-30,activo
277,Totto C.C. Andino #20,4,5,Bogota,cliente277@empresa.com.co,315040453,2024-10-16,activo
278,Natalia Cortes,1,4,Medellin,cliente278@gmail.com,304895475,2025-07-12,activo
279,Carlos Vargas,1,5,Cartagena,cliente279@gmail.com,315283671,2025-04-23,activo
280,Andres Gutierrez,1,2,Medellin,cliente280@gmail.com,313650391,2025-03-16,activo
281,Juan Gutierrez,1,5,Bogota,cliente281@gmail.com,316018975,2024-10-09,activo
282,Consultora Vertex #55,3,4,Cucuta,cliente282@empresa.com.co,325195951,2025-02-24,activo
283,Carlos Morales,1,5,Barranquilla,cliente283@gmail.com,307454081,2025-03-22,activo
284,Natalia Lopez,1,4,Bogota,cliente284@gmail.com,307398231,2025-10-29,activo
285,Nicolas Rojas,1,3,Bogota,cliente285@gmail.com,325963914,2024-11-07,activo
286,Sofia Gomez,1,4,Barranquilla,cliente286@gmail.com,327640518,2024-06-15,activo
287,Mateo Gomez,1,4,Cartagena,cliente287@gmail.com,321822825,2024-10-07,activo
288,Andrea Jimenez,1,5,Bogota,cliente288@gmail.com,314860745,2024-08-11,activo
289,Andrea Rojas,1,3,Bucaramanga,cliente289@gmail.com,304189885,2026-02-07,activo
290,Grupo Empresarial Sur #33,3,5,Medellin,cliente290@empresa.com.co,323294774,2025-09-25,activo
291,Valentina Rodriguez,1,5,Bogota,cliente291@gmail.com,318395785,2026-03-08,activo
292,Camila Cortes,1,5,Bogota,cliente292@gmail.com,313204724,2024-10-28,activo
293,Juan Morales,1,4,Bogota,cliente293@gmail.com,317970985,2025-07-25,activo
294,Laura Ramirez,1,5,Manizales,cliente294@gmail.com,307138070,2026-01-10,activo
295,Diego Mendoza,1,4,Bogota,cliente295@gmail.com,313760597,2025-03-01,activo
296,Mateo Jimenez,1,3,Bogota,cliente296@gmail.com,316682698,2025-08-24,activo
